Opportunity Name,Stage,Account Name,Owner,Amount,Close Date,Probability (%)
Digital Marketing Suite #1,Qualification,BrightWave Solutions,James Wilson,119379,2025-10-28,10
Financial Reporting Tool #2,Negotiation/Review,TechNova Inc.,William Anderson,111564,2026-01-03,80
Mobile App Development #3,Qualification,HealthFirst Medical,William Anderson,126237,2026-01-13,40
E-commerce Integration #4,Value Proposition,UrbanStyle Apparel,James Wilson,116759,2026-01-16,10
E-commerce Integration #5,Qualification,Skyline Retailers,James Wilson,70529,2026-01-16,100
CRM Implementation #6,Proposal/Price Quote,UrbanStyle Apparel,Olivia Taylor,85021,2025-11-03,60
Cloud Migration Project #7,Needs Analysis,UrbanStyle Apparel,Sophia Lee,62902,2025-12-10,100
CRM Implementation #8,Prospecting,Summit Construction,Sophia Lee,122413,2025-12-23,100
Digital Marketing Suite #9,Closed Won,TechNova Inc.,Sophia Lee,97585,2025-11-18,100
AI Analytics Platform #10,Closed Won,PeakPoint Logistics,William Anderson,45754,2025-10-05,60
Mobile App Development #11,Closed Won,TechNova Inc.,Daniel Martinez,28018,2026-01-04,60
Digital Marketing Suite #12,Qualification,GreenLeaf Energy,William Anderson,44072,2025-10-19,90
Mobile App Development #13,Prospecting,BlueOcean Finance,Michael Chen,36401,2025-10-10,90
Cybersecurity Package #14,Closed Won,BlueOcean Finance,Michael Chen,39848,2025-10-03,80
Mobile App Development #15,Prospecting,HealthFirst Medical,Emma Davis,38221,2025-12-16,90
